player,year,position,reason
Yoshinobu Yamamoto,2024,SP,No match found
Giancarlo Stanton,2015,RF,No data in year range
Jackson Chourio,2024,LF,No match found
Kodai Senga,2023,SP,No match found
Kazuma Okamoto,2026,3B,No match found
Tatsuya Imai,2026,P,No match found
Luis Robert Jr.,2020,CF,No match found
Cody Ponce,2026,SP,No match found
Colt Keith,2024,2B,No match found
Yuki Matsui,2024,RP,No match found
Sung Mun Song,2026,INF,No match found
Drew Anderson,2026,SP,No match found
Foster Griffin,2026,RP,No match found
Tyler Austin,2026,1B,No match found
Daison Acosta,2026,P,No match found
